1	19	2020-01-05	0051432	0	41310
2	1	2020-03-01	1017119	65000	0
3	2	2020-03-01	1046990	0	19000
4	5	2020-03-01	0945671	0	0
5	1	2020-09-03	0887132	1000000	0
6	1	2020-12-10	0887132	1000000	0
7	3	2021-06-10	0887132	1000000	0
8	2	2021-11-26	1017119	0	200000
9	1	2021-12-10	2086041	1164047	0
10	3	2021-12-10	0887132	491000	0
11	1	2021-12-25	0037651	30000	0
12	2	2021-12-28	1115600	0	100000
13	3	2021-12-28	1115600	0	120000
14	6	2021-12-28	1115600	0	256
15	3	2021-12-28	1115600	31500	0
16	1	2022-01-05	0311240	100000	0
17	1	2022-01-11	0351333	50000	0
18	3	2022-01-11	0351333	0	12600
19	6	2022-01-11	0351333	0	128
20	3	2022-01-21	1106405	1714930	0
21	1	2022-02-01	3104451	100000	0
22	2	2022-02-25	3104451	0	60000
23	4	2022-02-28	2750902	0	0
24	3	2022-03-13	3104451	807310	0
25	2	2022-03-13	3104451	0	55000
26	3	2022-03-13	3104451	0	15100
27	2	2022-03-20	0311240	0	36591
28	2	2022-03-23	1234161	0	30000
29	1	2022-03-23	2750902	50000	0
