2020-04-12	202004120003	1	S0604	1	
2020-05-03	202005030011	1	S0604	2	
2020-07-07	202007070005	1	S0604	5	500
2020-07-21	202007210022	1	D6402	2	
2020-07-21	202007210022	2	N0223	1	
2020-08-01	202008010493	1	N0501	1	
2020-08-03	202008030006	1	A6788	1	
2020-08-12	202008120047	1	D6402	3	
2020-08-18	202008180338	1	N8810	5	150
2020-10-01	202010010561	1	N1021	1	
2020-10-08	202010080001	1	Z8980	1	
2021-04-02	202104020841	1	S0331	1	
2021-04-03	202104030010	1	M0310	1	
2021-04-03	202104030010	2	S1074	1	
2021-04-03	202104030010	3	A0009	1	
2021-06-06	202106060061	1	B1350	1	600
2021-06-18	202106180180	1	S0604	10	1000
2021-07-01	202107010019	1	A0009	1	
2021-08-08	202108080013	1	S0604	3	
2021-09-03	202109030121	1	B0001	1	
2021-09-09	202109090008	1	A0009	1	
2021-09-10	202109100066	1	A0009	2	
2021-09-15	202109150031	1	M0122	1	
2021-09-15	202109150031	2	W0746	1	
2021-09-23	202109230045	1	W0746	2	
2021-09-25	202109250031	1	A0001	1	
2021-09-25	202109250046	1	A0001	1	100
2021-10-01	202110010171	1	W0746	1	
2021-10-10	202110100474	1	A0500	1	
2021-10-15	202110150061	1	F0194	1	
2021-10-19	202110190940	1	W0461	1	1000
2021-10-22	202110220047	1	W0156	3	350
2021-10-30	202110300045	1	B2137	1	
2021-10-30	202110300045	2	W0156	1	
2021-10-30	202110300045	3	Z3360	3	
2021-11-02	202111027410	1	W0746	1	1000
2021-11-24	202111240200	1	Z2323	150	
2021-11-24	202111240200	2	Z6511	150	
2021-11-24	202111241999	1	M0122	1	
2021-11-24	202111241999	2	A1055	1	
2021-12-01	202112010470	1	B0102	1	
2021-12-01	202112010505	1	N8810	3	
2021-12-01	202112120505	2	N8990	6	
2021-12-05	202112056101	1	W0746	1	600
2021-12-12	202112120008	1	Z2324	16	
2021-12-12	202112120009	1	N0119	1	
2021-12-18	202112180015	1	N0223	23	
2021-12-18	202112180054	1	S0017	2	200
2021-12-31	202112310011	1	W1252	1	
2022-01-03	202201030310	1	Z6511	2	
2022-01-03	202201030310	2	W0012	1	
2022-01-10	202201100015	1	B0102	1	500
2022-01-13	202201130115	1	F0190	1	500
2022-01-13	202201130115	2	F0194	1	500
2022-01-13	202201130115	3	A1055	1	500
2022-02-25	202202250126	1	A0100	1	
2022-02-25	202202250126	2	W0156	2	
2022-03-01	202203014050	1	S0331	1	
2022-03-09	202203090024	1	S0331	1	
2022-03-09	202203090024	2	Z6511	5	
2022-03-09	202203090024	3	S0740	1	
2022-03-12	202203120001	1	W0012	2	200
2022-03-13	202203130207	1	D6402	3	
2022-03-14	202203141004	1	B0102	1	
2022-03-14	202203141004	2	Z6511	3	300
2022-03-15	202203150014	1	B0113	1	
2022-03-21	202203210080	1	M0310	1	
2022-03-22	202203220901	1	S0331	1	
2022-03-22	202203220901	2	A6788	1	
